,Date,US,Germany,India,France
0,2020-01-22,1,0,0,0
1,2020-01-23,1,0,0,0
2,2020-01-24,2,0,0,2
3,2020-01-25,2,0,0,3
4,2020-01-26,5,0,0,3
5,2020-01-27,5,1,0,3
6,2020-01-28,5,4,0,4
7,2020-01-29,6,4,0,5
8,2020-01-30,6,4,1,5
9,2020-01-31,8,5,1,5
10,2020-02-01,8,8,1,6
11,2020-02-02,8,10,2,6
12,2020-02-03,11,12,3,6
13,2020-02-04,11,12,3,6
14,2020-02-05,11,12,3,6
15,2020-02-06,12,12,3,6
16,2020-02-07,12,13,3,6
17,2020-02-08,12,13,3,11
18,2020-02-09,12,14,3,11
19,2020-02-10,12,14,3,11
20,2020-02-11,13,16,3,11
21,2020-02-12,13,16,3,11
22,2020-02-13,14,16,3,11
23,2020-02-14,14,16,3,11
24,2020-02-15,14,16,3,12
25,2020-02-16,14,16,3,12
26,2020-02-17,14,16,3,12
27,2020-02-18,14,16,3,12
28,2020-02-19,14,16,3,12
29,2020-02-20,14,16,3,12
30,2020-02-21,16,16,3,12
31,2020-02-22,16,16,3,12
32,2020-02-23,16,16,3,12
33,2020-02-24,16,16,3,12
34,2020-02-25,16,16,3,14
35,2020-02-26,16,21,3,18
36,2020-02-27,17,26,3,38
37,2020-02-28,17,53,3,57
38,2020-02-29,25,66,3,100
39,2020-03-01,32,117,3,130
40,2020-03-02,55,150,5,191
41,2020-03-03,74,188,5,212
42,2020-03-04,107,262,28,288
43,2020-03-05,184,400,30,426
44,2020-03-06,237,639,31,616
45,2020-03-07,403,795,34,948
46,2020-03-08,519,902,39,1125
47,2020-03-09,594,1139,43,1411
48,2020-03-10,782,1296,56,1783
49,2020-03-11,1147,1567,62,2293
50,2020-03-12,1586,2369,73,2293
51,2020-03-13,2219,3062,82,3681
52,2020-03-14,2978,3795,102,4496
53,2020-03-15,3212,4838,113,4532
54,2020-03-16,4679,6012,119,6683
55,2020-03-17,6512,7156,142,7715
56,2020-03-18,9169,8198,156,9124
57,2020-03-19,13663,10999,194,10970
58,2020-03-20,20030,13957,244,12758
59,2020-03-21,26025,16662,330,14463
60,2020-03-22,34944,18610,396,16761
61,2020-03-23,46096,22672,499,20120
62,2020-03-24,56714,27436,536,22372
63,2020-03-25,68841,31554,657,25331
64,2020-03-26,86662,36508,727,29252
65,2020-03-27,105253,42288,887,33045
66,2020-03-28,127417,48582,987,37693
67,2020-03-29,143544,52547,1024,40296
68,2020-03-30,165698,57298,1251,44645
69,2020-03-31,192079,61913,1397,52281
70,2020-04-01,227903,67366,1998,57125
71,2020-04-02,260183,73522,2543,59227
72,2020-04-03,292630,79696,2567,64452
73,2020-04-04,324340,85778,3082,47376
74,2020-04-05,353117,91714,3588,48225
75,2020-04-06,385110,95391,4778,50884
76,2020-04-07,415256,99225,5311,47395
77,2020-04-08,446500,103228,5916,51250
78,2020-04-09,482526,108202,6725,55034
79,2020-04-10,516707,113525,7598,56600
80,2020-04-11,545693,117658,8446,58045
81,2020-04-12,571551,120479,9205,108792
82,2020-04-13,598794,123016,10453,111933
83,2020-04-14,627306,125098,11487,129381
84,2020-04-15,653669,127584,12322,132588
85,2020-04-16,683351,130450,13430,145166
86,2020-04-17,716508,133830,14352,147057
87,2020-04-18,743857,137439,15722,150861
88,2020-04-19,768888,139897,17615,151955
89,2020-04-20,799531,141672,18539,154402
90,2020-04-21,825478,143457,20080,157068
91,2020-04-22,855445,145694,21370,158867
92,2020-04-23,887523,148046,23077,157158
93,2020-04-24,919014,150383,24530,159969
94,2020-04-25,949640,152438,26283,161647
95,2020-04-26,975537,154175,27890,162280
96,2020-04-27,1000230,155193,29451,165966
97,2020-04-28,1024834,156337,31324,169098
98,2020-04-29,1051643,157641,33062,167643
99,2020-04-30,1081150,159119,34863,168861
100,2020-05-01,1115972,160758,37257,169387
101,2020-05-02,1142619,161703,39699,170179
102,2020-05-03,1166189,162496,42505,170540
103,2020-05-04,1190240,163175,46437,171102
104,2020-05-05,1214321,163860,49400,172219
105,2020-05-06,1238694,164807,52987,176355
106,2020-05-07,1266904,166091,56351,177096
107,2020-05-08,1294111,167300,59695,177627
108,2020-05-09,1318358,168551,62808,178155
109,2020-05-10,1337061,169218,67161,178404
110,2020-05-11,1356283,169575,70768,178719
111,2020-05-12,1379661,170508,74292,179472
112,2020-05-13,1399662,171306,78055,179993
113,2020-05-14,1425539,172239,81997,180635
114,2020-05-15,1449938,173152,85784,181148
115,2020-05-16,1473806,173772,90648,181563
116,2020-05-17,1492449,174355,95698,181703
117,2020-05-18,1514833,174697,100328,182147
118,2020-05-19,1535591,175210,106475,182648
119,2020-05-20,1558430,176007,112028,183129
120,2020-05-21,1583542,176752,118226,183396
121,2020-05-22,1607464,177212,124794,184152
122,2020-05-23,1627392,177850,131423,184698
123,2020-05-24,1647513,178281,138536,184259
124,2020-05-25,1666699,178570,144950,184584
125,2020-05-26,1685395,179002,150793,184839
126,2020-05-27,1704200,179364,158086,185012
127,2020-05-28,1725329,179717,165386,188355
128,2020-05-29,1750066,180458,173491,188949
129,2020-05-30,1772783,181196,181827,190743
130,2020-05-31,1791547,181482,190609,190975
131,2020-06-01,1809384,181815,198370,191382
132,2020-06-02,1829340,182028,207191,190735
133,2020-06-03,1848388,182370,216824,187509
134,2020-06-04,1876099,182764,226713,191869
135,2020-06-05,1902280,183271,236184,192450
136,2020-06-06,1922433,183678,246622,193022
137,2020-06-07,1940242,183979,257486,193363
138,2020-06-08,1957154,184193,265928,193637
139,2020-06-09,1977478,184543,276146,194190
140,2020-06-10,1999224,184861,286605,194815
141,2020-06-11,2021527,185416,297535,195179
142,2020-06-12,2047082,185674,308993,195980
143,2020-06-13,2071218,186022,320922,196477
144,2020-06-14,2090171,186269,332424,196867
145,2020-06-15,2111266,186461,343091,197003
146,2020-06-16,2135894,186839,354065,197666
147,2020-06-17,2162973,187184,366946,198155
148,2020-06-18,2191211,187764,380532,198741
149,2020-06-19,2222207,188534,395048,199528
150,2020-06-20,2254073,189135,410451,200147
151,2020-06-21,2279932,189822,425282,200490
152,2020-06-22,2309921,190359,440215,200632
153,2020-06-23,2348750,190862,456183,201330
154,2020-06-24,2385029,191449,473105,201598
155,2020-06-25,2424386,192079,490401,201853
156,2020-06-26,2473472,192556,508953,203116
157,2020-06-27,2514305,193243,528859,203564
158,2020-06-28,2557223,193499,548318,203157
159,2020-06-29,2598741,193761,566840,203802
160,2020-06-30,2648797,194259,585481,204244
161,2020-07-01,2698127,194725,604641,205234
162,2020-07-02,2753211,195228,625544,205773
163,2020-07-03,2804869,195674,648315,206312
164,2020-07-04,2850893,196096,673165,206670
165,2020-07-05,2904843,196335,697413,206682
166,2020-07-06,2948475,196554,719664,207700
167,2020-07-07,3005888,196944,742417,208154
168,2020-07-08,3066392,197341,767296,208976
169,2020-07-09,3126224,197783,793802,209420
170,2020-07-10,3194746,198178,820916,210135
171,2020-07-11,3255187,198556,849522,210386
172,2020-07-12,3315407,198804,878254,210402
173,2020-07-13,3375032,198963,906752,211825
174,2020-07-14,3440789,199375,936181,211887
175,2020-07-15,3507088,199726,968857,212614
176,2020-07-16,3577862,200260,1003832,213183
177,2020-07-17,3644284,200843,1039084,214009
178,2020-07-18,3708609,201372,1077781,214174
179,2020-07-19,3767602,201574,1118206,214178
180,2020-07-20,3828458,201823,1155338,216089
181,2020-07-21,3896753,202345,1193078,216684
182,2020-07-22,3964203,202799,1238798,217605
183,2020-07-23,4031970,203368,1288108,218841
184,2020-07-24,4106919,204183,1337024,219932
185,2020-07-25,4170674,204964,1385635,220016
186,2020-07-26,4226305,205269,1435616,220020
187,2020-07-27,4286302,205609,1480073,222508
188,2020-07-28,4350866,206242,1531669,223072
189,2020-07-29,4414918,206926,1581963,224542
190,2020-07-30,4484122,207828,1634746,225936
191,2020-07-31,4548497,208698,1695988,227239
192,2020-08-01,4605921,209653,1750723,227301
193,2020-08-02,4652810,209893,1803695,227304
194,2020-08-03,4694706,210402,1855745,230665
195,2020-08-04,4756327,211281,1908254,231636
196,2020-08-05,4810464,212022,1964536,233344
197,2020-08-06,4870500,213067,2027074,234945
198,2020-08-07,4930941,214214,2088611,237332
199,2020-08-08,4994708,215336,2153010,237402
200,2020-08-09,5048871,215891,2215074,237408
201,2020-08-10,5100508,216327,2268675,242168
202,2020-08-11,5157384,217293,2329638,243576
203,2020-08-12,5212606,218519,2396637,246180
204,2020-08-13,5264052,219964,2461190,248850
205,2020-08-14,5334124,221413,2525922,251764
206,2020-08-15,5386449,222828,2589952,254974
207,2020-08-16,5421026,223453,2647663,257994
208,2020-08-17,5459023,224014,2702681,258629
209,2020-08-18,5503998,225404,2767253,260748
210,2020-08-19,5549913,226914,2836925,264535
211,2020-08-20,5595048,228621,2905825,269335
212,2020-08-21,5642948,230048,2975701,274289
213,2020-08-22,5688219,232082,3044940,277763
214,2020-08-23,5720122,232864,3106348,282498
215,2020-08-24,5754213,233575,3167323,284474
216,2020-08-25,5796775,234853,3224547,288067
217,2020-08-26,5838967,236429,3310234,288354
218,2020-08-27,5889404,237936,3387500,299580
219,2020-08-28,5935724,239507,3463972,307205
220,2020-08-29,5978795,240986,3542733,312665
221,2020-08-30,6012963,241771,3621245,318047
222,2020-08-31,6046489,242381,3691166,321160
223,2020-09-01,6088458,243599,3769523,326264
224,2020-09-02,6128576,244855,3853406,333351
225,2020-09-03,6173787,246166,3936747,340473
226,2020-09-04,6222446,247619,4023179,349333
227,2020-09-05,6265684,248997,4113811,357927
228,2020-09-06,6294762,249985,4204613,364943
229,2020-09-07,6319464,250799,4280422,369209
230,2020-09-08,6346567,252298,4370128,375947
231,2020-09-09,6380418,253474,4465863,384546
232,2020-09-10,6420040,255366,4562414,394308
233,2020-09-11,6464865,256850,4659984,403837
234,2020-09-12,6510480,258480,4754356,415174
235,2020-09-13,6550788,259428,4846427,421519
236,2020-09-14,6583689,260355,4930236,427839
237,2020-09-15,6621128,261762,5020359,435665
238,2020-09-16,6659477,263663,5118253,445932
239,2020-09-17,6704918,265857,5214677,456171
240,2020-09-18,6755145,267773,5308014,469404
241,2020-09-19,6800800,270070,5400619,482964
242,2020-09-20,6842405,271415,5487580,493500
243,2020-09-21,6874665,272337,5562663,499039
244,2020-09-22,6912973,274158,5646010,509123
245,2020-09-23,6954203,275927,5732518,522355
246,2020-09-24,7003200,278070,5818570,538264
247,2020-09-25,7050826,280223,5903932,554368
248,2020-09-26,7094716,282730,5992532,568588
249,2020-09-27,7128423,284140,6074702,579223
250,2020-09-28,7164994,285332,6145291,583522
251,2020-09-29,7207284,287421,6225763,591527
252,2020-09-30,7246200,289219,6312584,605893
253,2020-10-01,7292562,291722,6394068,618918
254,2020-10-02,7346109,294395,6473544,631354
255,2020-10-03,7395489,296958,6549373,647868
256,2020-10-04,7428859,299237,6623815,660372
257,2020-10-05,7466806,300619,6685082,666011
258,2020-10-06,7511827,303258,6757131,677321
259,2020-10-07,7561294,306086,6835655,696274
260,2020-10-08,7619507,310144,6906151,713676
261,2020-10-09,7674838,314660,6979423,734707
262,2020-10-10,7730092,319381,7053806,761384
263,2020-10-11,7776972,322864,7120538,777378
264,2020-10-12,7819927,325331,7175880,786590
265,2020-10-13,7870523,329453,7239389,800216
266,2020-10-14,7929694,334585,7307097,823181
267,2020-10-15,7993556,341223,7370468,852938
268,2020-10-16,8063866,348557,7432680,878572
269,2020-10-17,8118716,356387,7494551,910711
270,2020-10-18,8171010,361974,7550273,940548
271,2020-10-19,8239747,366299,7597063,954838
272,2020-10-20,8302318,373167,7651107,975214
273,2020-10-21,8363743,380762,7706946,1002624
274,2020-10-22,8443959,392049,7761312,1043437
275,2020-10-23,8526091,403291,7814682,1086286
276,2020-10-24,8604190,418005,7864811,1131551
